municipality,county,municipality_id,county_id,latitude,longitude,hover
värmdö,stockholm,0120,1,59.329785,18.431584,stockholm värmdö
flen,södermanland,0482,4,58.907255000000006,16.638713,södermanland flen
katrineholm,södermanland,0483,4,59.08786,16.211660000000002,södermanland katrineholm
kungsbacka,västra götaland,1384,13,57.576997,11.942625,västra götaland kungsbacka
svalöv,skåne,1214,12,55.882914,12.999087,skåne svalöv
eslöv,skåne,1285,12,55.962529,13.331781,skåne eslöv
bengtsfors,västra götaland,1460,14,58.983173,12.246167,västra götaland bengtsfors
örnsköldsvik,västernorrland,2284,22,63.32287700000001,18.514495,västernorrland örnsköldsvik
krokom,stockholm,2309,23,59.332728,17.544941,stockholm krokom
bjurholm,västerbotten,2403,24,63.964237,18.979487,västerbotten bjurholm
bjuv,skåne,1260,12,56.084298,12.91673,skåne bjuv
kristianstad,skåne,1290,12,56.11294399999999,14.087109,skåne kristianstad
hässleholm,skåne,1293,12,56.290441,13.711422,skåne hässleholm
lomma,skåne,1262,12,55.722186,13.021643,skåne lomma
sjöbo,skåne,1265,12,55.72310699999999,13.689776,skåne sjöbo
örnsköldsvik,västernorrland,2284,22,63.203875,18.500273,västernorrland örnsköldsvik
gagnef,dalarna,2026,20,60.456683,14.727251,dalarna gagnef
lerum,västra götaland,1441,14,57.87357900000001,12.32805,västra götaland lerum
gävle,gävleborg,2180,21,60.765938,17.191292999999998,gävleborg gävle
mark,västra götaland,1463,14,57.42615600000001,12.523757000000002,västra götaland mark
uppsala,uppsala,0380,3,60.029136,17.551431,uppsala uppsala
luleå,norrbotten,2580,25,65.61585,22.177784,norrbotten luleå
katrineholm,södermanland,0483,4,58.839772,16.513832,södermanland katrineholm
vetlanda,jönköping,0685,6,57.519216,14.905918,jönköping vetlanda
öckerö,kalmar,1407,14,57.86431,16.656670000000002,kalmar öckerö
örnsköldsvik,västernorrland,2284,22,63.73584200000001,18.449723,västernorrland örnsköldsvik
kristinehamn,skåne,1781,17,55.486245,13.385036,skåne kristinehamn
gnesta,södermanland,0461,4,59.066026,17.159785,södermanland gnesta
åstorp,västernorrland,1277,12,62.902228,18.346429,västernorrland åstorp
åre,gävleborg,2321,23,61.302995,17.035888,gävleborg åre
